user_id,duration_text,condition_text,threshold_text,trial,block_id,block_trial_id,gaze_entropy_limit,center_distance,gaze_entropy_limit_norm,center_distance_norm
8,short,with distraction,none,1,0,0,-0.0,0.1217015150890686,-0.696114882436003,-0.6446813472486467
8,short,with distraction,none,1,1,1,0.06,0.16442629258016483,-0.2106024372203816,0.0065203128043573415
8,short,with distraction,none,2,0,2,-0.0,0.1337956746277128,-0.696114882436003,-0.46034482799697196
8,short,with distraction,none,2,1,3,0.12,0.1221439414860395,0.27491000799523974,-0.6379379814296259
8,short,with distraction,none,3,0,4,0.22,0.21246770747887128,1.084097416687942,0.7387569906864696
8,short,with distraction,none,3,1,5,-0.0,0.1855115344051565,-0.696114882436003,0.3278969304336724
8,short,with distraction,none,4,0,6,-0.0,0.10369976607421817,-0.696114882436003,-0.9190600457631358
8,short,with distraction,none,4,1,7,-0.0,0.10281725949368473,-0.696114882436003,-0.9325110169325198
8,short,with distraction,none,5,0,8,0.13,0.15966972051196401,0.35582874886451005,-0.06597831232293877
8,short,with distraction,none,5,1,9,-0.0,0.1616397364958769,-0.696114882436003,-0.03595176205424811
8,short,with distraction,none,6,0,10,0.07,0.18902703371679125,-0.1296836963511113,0.3814793976127895
8,short,with distraction,none,6,1,11,-0.0,0.17100171913548307,-0.696114882436003,0.10674151791823262
8,short,with distraction,none,7,0,12,0.2,0.22019148698905092,0.9222599349494017,0.8564811389271607
8,short,with distraction,none,7,1,13,0.15,0.1999294557499268,0.5176662306030504,0.5476517159602841
8,short,with distraction,none,8,0,14,0.24,0.2118154664005816,1.2459348984264824,0.7288156756491821
8,short,with distraction,none,8,1,15,-0.0,0.14962467896489542,-0.696114882436003,-0.21908262590574598
8,short,with distraction,none,9,0,16,0.03,0.15663279995056367,-0.4533586598281923,-0.11226638746727724
8,short,with distraction,none,9,1,17,0.13,0.16397406634277978,0.35582874886451005,-0.000372420026516819
8,short,with distraction,none,9,2,18,-0.0,0.05917635383219603,-0.696114882436003,-1.597676101031564
8,short,with distraction,none,10,0,19,-0.0,0.11796921447829958,-0.696114882436003,-0.7015682521378794
8,short,with distraction,none,10,1,20,-0.0,0.16639759972978707,-0.696114882436003,0.036566542736763206
8,short,with distraction,static,1,0,0,-0.0,0.07383234213611685,-0.696114882436003,-1.374292751282824
8,short,with distraction,static,2,0,1,-0.0,0.059039576167437,-0.696114882436003,-1.5997608361098876
8,short,with distraction,static,3,0,2,-0.0,0.0668751550954132,-0.696114882436003,-1.4803326657364362
8,short,with distraction,static,4,0,3,0.35,0.14222603630819844,2.136041047988455,-0.33185110974826826
8,short,with distraction,static,5,0,4,-0.0,0.08117352196195021,-0.696114882436003,-1.2624001032678267
8,short,with distraction,static,5,1,5,-0.0,0.1188241988070961,-0.696114882436003,-0.6885367690752087
8,short,with distraction,static,6,0,6,-0.0,0.09919010229702716,-0.696114882436003,-0.9877953490329935
8,short,with distraction,static,7,0,7,-0.0,0.05580740885958855,-0.696114882436003,-1.6490248192138042
8,short,with distraction,static,8,0,8,-0.0,0.08247041481736955,-0.696114882436003,-1.2426331476520611
8,short,with distraction,static,8,1,9,-0.0,0.1580615985130332,-0.696114882436003,-0.09048895408086811
8,short,with distraction,static,9,0,10,-0.0,0.1132976776354247,-0.696114882436003,-0.7727707890665472
8,short,with distraction,static,10,0,11,-0.0,0.16218548744823058,-0.696114882436003,-0.027633546091103835
8,short,with distraction,static,10,1,12,-0.0,0.0744757576800799,-0.696114882436003,-1.3644859530983287
8,short,with distraction,filtered,1,0,0,0.21,0.1396638518699017,1.0031786758186718,-0.3709033613352663
8,short,with distraction,filtered,1,1,1,0.37,0.23165997453533502,2.2978785297269955,1.0312813033047
8,short,with distraction,filtered,2,0,2,0.2,0.1927580751520572,0.9222599349494017,0.4383471104259941
8,short,with distraction,filtered,2,1,3,0.13,0.19194237534664102,0.35582874886451005,0.42591439342699683
8,short,with distraction,filtered,3,0,4,0.07,0.18391221591619658,-0.1296836963511113,0.30352046983815023
8,short,with distraction,filtered,3,1,5,-0.0,0.0832283181112068,-0.696114882436003,-1.2310813523686495
8,short,with distraction,filtered,4,0,6,0.1,0.12739526843845128,0.11307252625669936,-0.5578984111918573
8,short,with distraction,filtered,4,1,7,0.15,0.22522944469526626,0.5176662306030504,0.9332685820507196
8,short,with distraction,filtered,5,0,8,0.08,0.17442484765452962,-0.04876495548184112,0.15891608979616567
8,short,with distraction,filtered,5,1,9,-0.0,0.2071945469764107,-0.696114882436003,0.6583846382817351
8,short,with distraction,filtered,6,0,10,0.32,0.24051796811968812,1.8932848253806445,1.1662928929629892
8,short,with distraction,filtered,6,1,11,0.34,0.2236061927516874,2.0551223071191846,0.9085273330047037
8,short,with distraction,filtered,7,0,12,0.14,0.18132387256711463,0.43674748973378036,0.26406950988732125
8,short,with distraction,filtered,7,1,13,0.28,0.21866141447071433,1.5696098619035637,0.8331601101833619
8,short,with distraction,filtered,8,0,14,0.23,0.23510942430763845,1.1650161575572124,1.0838570579347053
8,short,with distraction,filtered,9,0,15,0.32,0.24665361853497833,1.8932848253806445,1.2598111268911718
8,short,with distraction,filtered,9,1,16,0.35,0.24187108541589142,2.136041047988455,1.1869168091371027
8,short,with distraction,filtered,10,0,17,0.37,0.27019737816912576,2.2978785297269955,1.6186599321503874
8,short,with distraction,filtered,10,1,18,-0.0,0.10694960603690203,-0.696114882436003,-0.8695266999417948
8,short,no distraction,none,1,0,0,0.02,0.15234335401849697,-0.5342774006974624,-0.17764517878460032
