user_id,duration_text,condition_text,threshold_text,trial,accuracy,resptime,gaze_entropy_raw,gaze_entropy_limit,q1,q2,q3,q4,q5,q6,center_distance,resptime_norm,gaze_entropy_raw_norm,gaze_entropy_limit_norm,q1_norm,q2_norm,q3_norm,q4_norm,q5_norm,q6_norm,center_distance_norm
10,long,with distraction,filtered,8.0,1.0,0.8023180961608887,0.12,0.12,6.0,6.0,5.0,5.0,5.0,5.0,0.22361762226774173,0.1737556698681537,-0.2533645828451083,-0.2533645828451083,0.5258758927213284,0.4221585268381751,2.768102995896063,2.961839814778755,2.961839814778755,2.961839814778755,0.8860575730731376
10,long,with distraction,filtered,9.0,1.0,0.9161789417266846,0.04,0.04,6.0,6.0,5.0,5.0,5.0,5.0,0.1547660624620443,0.8006304969972394,-0.9160104149015449,-0.9160104149015449,0.5258758927213284,0.4221585268381751,2.768102995896063,2.961839814778755,2.961839814778755,2.961839814778755,-0.6477297663950046
10,long,with distraction,filtered,10.0,1.0,1.075592041015625,0.07,0.07,6.0,6.0,5.0,5.0,5.0,5.0,0.1556320213926825,1.678298834714961,-0.6675182278803812,-0.6675182278803812,0.5258758927213284,0.4221585268381751,2.768102995896063,2.961839814778755,2.961839814778755,2.961839814778755,-0.6284390364818335
10,long,no distraction,none,1.0,1.0,0.7777361869812012,0.23,0.23,4.0,4.0,1.0,1.0,1.0,1.0,0.2082752601150503,0.0384169589096552,0.6577734362324923,0.6577734362324923,-2.6833154526037037,-2.9269657860780143,-0.9330684255829426,-0.8901704361356916,-0.8901704361356916,-0.8901704361356916,0.54427997364414
10,long,no distraction,none,2.0,1.0,1.097435712814331,0.25,0.25,4.0,4.0,1.0,1.0,1.0,1.0,0.19598821694710572,1.7985618444847729,0.8234348942466014,0.8234348942466014,-2.6833154526037037,-2.9269657860780143,-0.9330684255829426,-0.8901704361356916,-0.8901704361356916,-0.8901704361356916,0.27056487839175264
10,long,no distraction,none,3.0,1.0,0.6639599800109863,0.27,0.27,4.0,4.0,1.0,1.0,1.0,1.0,0.2205146963669771,-0.5879918800677558,0.9890963522607107,0.9890963522607107,-2.6833154526037037,-2.9269657860780143,-0.9330684255829426,-0.8901704361356916,-0.8901704361356916,-0.8901704361356916,0.8169345426678517
10,long,no distraction,none,4.0,1.0,0.8567590713500977,0.27,0.27,4.0,4.0,1.0,1.0,1.0,1.0,0.21893960681786892,0.47348712488139727,0.9890963522607107,0.9890963522607107,-2.6833154526037037,-2.9269657860780143,-0.9330684255829426,-0.8901704361356916,-0.8901704361356916,-0.8901704361356916,0.7818467041966775
10,long,no distraction,none,5.0,1.0,0.6601872444152832,0.32,0.32,4.0,4.0,1.0,1.0,1.0,1.0,0.25128069829543603,-0.6087631378483199,1.4032499972959835,1.4032499972959835,-2.6833154526037037,-2.9269657860780143,-0.9330684255829426,-0.8901704361356916,-0.8901704361356916,-0.8901704361356916,1.5023003408733113
10,long,no distraction,none,6.0,1.0,0.6695997714996338,0.29,0.29,4.0,4.0,1.0,1.0,1.0,1.0,0.24287633439164788,-0.5569413174540524,1.1547578102748195,1.1547578102748195,-2.6833154526037037,-2.9269657860780143,-0.9330684255829426,-0.8901704361356916,-0.8901704361356916,-0.8901704361356916,1.3150786281293882
10,long,no distraction,none,7.0,1.0,0.7821199893951416,0.26,0.26,4.0,4.0,1.0,1.0,1.0,1.0,0.21951781701715586,0.06255251988104246,0.906265623253656,0.906265623253656,-2.6833154526037037,-2.9269657860780143,-0.9330684255829426,-0.8901704361356916,-0.8901704361356916,-0.8901704361356916,0.7947273344354172
10,long,no distraction,none,8.0,1.0,0.7534289360046387,0.25,0.25,4.0,4.0,1.0,1.0,1.0,1.0,0.2159985691231384,-0.09540958768059192,0.8234348942466014,0.8234348942466014,-2.6833154526037037,-2.9269657860780143,-0.9330684255829426,-0.8901704361356916,-0.8901704361356916,-0.8901704361356916,0.7163300130163132
10,long,no distraction,none,9.0,1.0,0.9936230182647704,0.27,0.27,4.0,4.0,1.0,1.0,1.0,1.0,0.22868942758914101,1.227008343136897,0.9890963522607107,0.9890963522607107,-2.6833154526037037,-2.9269657860780143,-0.9330684255829426,-0.8901704361356916,-0.8901704361356916,-0.8901704361356916,0.9990407910592267
10,long,no distraction,none,10.0,1.0,0.7348310947418213,0.3,0.3,4.0,4.0,1.0,1.0,1.0,1.0,0.25869750876515957,-0.19780227999434963,1.2375885392818742,1.2375885392818742,-2.6833154526037037,-2.9269657860780143,-0.9330684255829426,-0.8901704361356916,-0.8901704361356916,-0.8901704361356916,1.6675225962557576
10,long,no distraction,static,1.0,1.0,0.7801070213317871,0.15,0.15,6.0,6.0,3.0,2.0,2.0,2.0,0.1943492701373626,0.05146987772726955,-0.004872395823944554,-0.004872395823944554,0.5258758927213284,0.4221585268381751,0.9175172851565602,0.07283212659292017,0.07283212659292017,0.07283212659292017,0.23405450921580748
10,long,no distraction,static,2.0,1.0,0.6328418254852295,0.13,0.13,6.0,6.0,3.0,2.0,2.0,2.0,0.15478453382853874,-0.7593166901196672,-0.17053385383805364,-0.17053385383805364,0.5258758927213284,0.4221585268381751,0.9175172851565602,0.07283212659292017,0.07283212659292017,0.07283212659292017,-0.6473182848228833
10,long,no distraction,static,3.0,1.0,0.7915668487548828,0.28,0.28,6.0,6.0,3.0,2.0,2.0,2.0,0.21991092635732962,0.11456336082134144,1.0719270812677653,1.0719270812677653,0.5258758927213284,0.4221585268381751,0.9175172851565602,0.07283212659292017,0.07283212659292017,0.07283212659292017,0.8034845235344982
10,long,no distraction,static,4.0,1.0,0.6129987239837646,0.18,0.18,6.0,6.0,3.0,2.0,2.0,2.0,0.19380068935765132,-0.8685653151551063,0.24361979119721922,0.24361979119721922,0.5258758927213284,0.4221585268381751,0.9175172851565602,0.07283212659292017,0.07283212659292017,0.07283212659292017,0.2218339254415077
10,long,no distraction,static,5.0,1.0,0.7145459651947021,0.34,0.34,6.0,6.0,3.0,2.0,2.0,2.0,0.2368030673638382,-0.3094845445599433,1.568911455310093,1.568911455310093,0.5258758927213284,0.4221585268381751,0.9175172851565602,0.07283212659292017,0.07283212659292017,0.07283212659292017,1.179786122008227
