user_id,duration_text,condition_text,threshold_text,accuracy,resptime,missnumber,gaze_entropy_raw,gaze_entropy_limit,q1,q2,q3,q4,q5,q6,center_distance,accuracy_norm,resptime_norm,missnumber_norm,gaze_entropy_raw_norm,gaze_entropy_limit_norm,q1_norm,q2_norm,q3_norm,q4_norm,q5_norm,q6_norm,center_distance_norm
8,short,with distraction,none,1.0,0.8917185544967652,0,0.3,0.3,4.0,4.0,2.0,3.0,2.0,2.0,0.2553374780056472,0.3015113445777635,0.15458854810915731,-0.7745966692414834,0.8990275707432195,0.8990275707432195,-0.7071067811865478,-0.6767155423319642,0.0,-0.4738035414793428,-0.7071067811865476,0.8451542547285167,0.6935089360076979
8,short,with distraction,static,1.0,0.8819278081258138,1,0.35,0.35,6.0,6.0,3.0,4.0,3.0,2.0,0.3007441595724766,0.3015113445777635,0.07818617727325732,0.7745966692414834,1.4853498994887975,1.4853498994887975,1.4142135623730947,1.6434520313776286,1.224744871391589,0.04307304922539488,-0.17677669529663695,0.8451542547285167,1.5733261984672686
8,short,with distraction,filtered,1.0,1.0009438461727567,1,0.3,0.3,6.0,6.0,3.0,5.0,4.0,1.0,0.27453872957706416,0.3015113445777635,1.0069312524455556,0.7745966692414834,0.8990275707432195,0.8990275707432195,1.4142135623730947,1.6434520313776286,1.224744871391589,0.5599496399301326,0.3535533905932737,-1.183215956619923,1.0655597446204714
8,short,no distraction,none,1.0,0.7596720457077026,0,0.23,0.23,4.0,4.0,1.0,1.0,1.0,1.0,0.2133881999754033,0.3015113445777635,-0.8758401801868241,-0.7745966692414834,0.07817631049941028,0.07817631049941028,-0.7071067811865478,-0.6767155423319642,-1.224744871391589,-1.507556722888818,-1.2374368670764582,-1.183215956619923,-0.11931635060577152
8,short,no distraction,static,1.0,0.7459091901779175,0,0.17,0.17,5.0,5.0,3.0,5.0,4.0,1.0,0.1939074885989193,0.3015113445777635,-0.983239019060575,-0.7745966692414834,-0.6254104839952835,-0.6254104839952835,0.35355339059327345,0.48336824452283217,1.224744871391589,0.5599496399301326,0.3535533905932737,-1.183215956619923,-0.4967820794940931
8,short,no distraction,filtered,1.0,0.6862548589706421,0,0.27,0.27,6.0,5.0,2.0,5.0,3.0,2.0,0.24736261697274947,0.3015113445777635,-1.4487533079802044,-0.7745966692414834,0.5472341734958729,0.5472341734958729,1.4142135623730947,0.48336824452283217,0.0,0.5599496399301326,-0.17677669529663695,0.8451542547285167,0.5389849725656028
8,long,with distraction,none,0.6,1.0455174922943116,0,0.21,0.21,4.0,4.0,1.0,1.0,1.0,1.0,0.2043994465704516,-3.3166247903554,1.3547629816578717,-0.7745966692414834,-0.15635262099882122,-0.15635262099882122,-0.7071067811865478,-0.6767155423319642,-1.224744871391589,-1.507556722888818,-1.2374368670764582,-1.183215956619923,-0.2934858811852989
8,long,with distraction,static,1.0,1.0019283592700958,2,0.1,0.1,4.0,4.0,2.0,6.0,6.0,2.0,0.14654236639818316,0.3015113445777635,1.0146139287100413,2.32379000772445,-1.446261744239093,-1.446261744239093,-0.7071067811865478,-0.6767155423319642,0.0,1.0768262306348702,1.414213562373095,0.8451542547285167,-1.4145468381757216
8,long,with distraction,filtered,1.0,1.0768879254659016,1,0.11,0.11,5.0,5.0,3.0,4.0,3.0,2.0,0.1525974197417019,0.3015113445777635,1.599563058960431,0.7745966692414834,-1.3289972784899775,-1.3289972784899775,0.35355339059327345,0.48336824452283217,1.224744871391589,0.04307304922539488,-0.17677669529663695,0.8451542547285167,-1.297221804217876
8,long,no distraction,none,1.0,0.8634138902028402,1,0.18,0.18,4.0,4.0,1.0,1.0,1.0,1.0,0.18732463892315093,0.3015113445777635,-0.06628771360121369,0.7745966692414834,-0.5081460182461681,-0.5081460182461681,-0.7071067811865478,-0.6767155423319642,-1.224744871391589,-1.507556722888818,-1.2374368670764582,-1.183215956619923,-0.624333897443907
8,long,no distraction,static,1.0,0.7646056413650513,0,0.34,0.34,5.0,5.0,1.0,7.0,7.0,2.0,0.2937373637922921,0.3015113445777635,-0.8373407246105369,-0.7745966692414834,1.3680854337396824,1.3680854337396824,0.35355339059327345,0.48336824452283217,-1.224744871391589,1.5937028213396078,1.9445436482630056,0.8451542547285167,1.4375598383367225
8,long,no distraction,filtered,1.0,0.744122052192688,0,0.12,0.12,3.0,3.0,2.0,5.0,5.0,2.0,0.1646723752570567,0.3015113445777635,-0.9971850017169673,-0.7745966692414834,-1.211732812740862,-1.211732812740862,-1.767766952966369,-1.8367993291867606,0.0,0.5599496399301326,0.8838834764831843,0.8451542547285167,-1.0632528388750873
6,short,with distraction,none,0.9,0.828978443145752,0,0.37,0.37,4.0,4.0,1.0,1.0,1.0,1.0,0.33573607738006106,-3.3166247903554016,-0.09943584597903382,-0.5488212999484517,0.8980172269587697,0.8980172269587697,-0.3737175463759682,-0.08737040566610348,-1.1832159566199232,-1.3057016454950832,-1.3973122487802576,-1.3627702877384937,1.1411840365925703
6,short,with distraction,static,1.0,0.8210962057113648,0,0.23,0.23,3.0,3.0,4.0,6.0,6.0,6.0,0.21679136934458532,0.3015113445777627,-0.15843316687928863,-0.5488212999484517,-1.0116902936624106,-1.0116902936624106,-1.2706396576782912,-1.135815273659349,0.33806170189140655,0.8116523742266735,0.5524257727735904,0.7337993857053429,-1.045787948671997
