user_id,duration_text,condition_text,threshold_text,accuracy,resptime,missnumber,gaze_entropy_raw,gaze_entropy_limit,q1,q2,q3,q4,q5,q6
5,short,no distraction,filtered,0.9,0.4595078229904175,0,0.35,0.35,5.0,5.0,2.0,3.0,2.0,2.0
5,long,with distraction,none,1.0,0.7184700489044189,0,0.17,0.17,4.0,4.0,1.0,1.0,1.0,1.0
5,long,with distraction,static,1.0,0.7550914287567139,0,0.37,0.37,4.0,3.0,1.0,1.0,1.0,1.0
5,long,with distraction,filtered,1.0,0.7529975891113281,0,0.22,0.22,3.0,4.0,1.0,1.0,1.0,1.0
5,long,no distraction,none,1.0,0.5849441289901733,0,0.24,0.24,4.0,4.0,1.0,1.0,1.0,1.0
5,long,no distraction,static,1.0,0.5529354333877563,0,0.36,0.36,3.0,3.0,2.0,1.0,2.0,1.0
5,long,no distraction,filtered,1.0,0.5139281988143921,0,0.13,0.13,3.0,3.0,1.0,1.0,1.0,1.0
6,short,with distraction,none,0.9,0.828978443145752,0,0.37,0.37,4.0,4.0,1.0,1.0,1.0,1.0
6,short,with distraction,static,1.0,0.8210962057113648,0,0.23,0.23,3.0,3.0,4.0,6.0,6.0,6.0
6,short,with distraction,filtered,1.0,0.8737012863159179,0,0.37,0.37,5.0,5.0,3.0,3.0,6.0,6.0
6,short,no distraction,none,1.0,0.694300651550293,0,0.35,0.35,4.0,4.0,1.0,1.0,1.0,1.0
6,short,no distraction,static,1.0,0.7215842485427857,0,0.36,0.36,2.0,2.0,6.0,5.0,7.0,4.0
6,short,no distraction,filtered,1.0,0.6553515672683716,0,0.35,0.35,5.0,5.0,6.0,6.0,6.0,6.0
6,long,with distraction,none,1.0,1.0542752146720886,2,0.3,0.3,4.0,4.0,1.0,1.0,1.0,1.0
6,long,with distraction,static,1.0,1.0355663299560547,0,0.36,0.36,5.0,5.0,5.0,6.0,7.0,7.0
6,long,with distraction,filtered,1.0,1.0632344484329224,0,0.19,0.19,6.0,5.0,3.0,6.0,6.0,6.0
6,long,no distraction,none,1.0,0.7690958380699158,2,0.25,0.25,4.0,4.0,1.0,1.0,1.0,1.0
6,long,no distraction,static,1.0,0.8056229220496284,1,0.36,0.36,6.0,5.0,6.0,7.0,7.0,6.0
6,long,no distraction,filtered,1.0,0.7843536615371705,0,0.16,0.16,5.0,3.0,3.0,6.0,6.0,6.0
7,short,with distraction,none,1.0,0.921098279953003,0,0.36,0.36,4.0,4.0,1.0,1.0,1.0,1.0
7,short,with distraction,static,1.0,1.0285696744918824,0,0.36,0.36,1.0,1.0,6.0,1.0,6.0,1.0
7,short,with distraction,filtered,1.0,1.236082633336385,1,0.28,0.28,2.0,2.0,1.0,5.0,5.0,5.0
7,short,no distraction,none,1.0,0.8985584735870361,0,0.36,0.36,4.0,4.0,1.0,1.0,1.0,1.0
7,short,no distraction,static,1.0,0.6846744775772095,0,0.29,0.29,4.0,4.0,1.0,1.0,1.0,1.0
7,short,no distraction,filtered,1.0,0.6991462945938111,0,0.09,0.09,5.0,5.0,5.0,1.0,2.0,1.0
7,long,with distraction,none,1.0,1.642831802368164,0,0.31,0.31,4.0,4.0,1.0,1.0,1.0,1.0
7,long,with distraction,static,1.0,1.5919995069503785,0,0.37,0.37,5.0,6.0,2.0,2.0,2.0,1.0
7,long,with distraction,filtered,1.0,1.1997678518295287,0,0.25,0.25,4.0,4.0,1.0,1.0,1.0,1.0
7,long,no distraction,none,1.0,1.1262652635574342,0,0.19,0.19,4.0,4.0,1.0,1.0,1.0,1.0
7,long,no distraction,static,1.0,1.1753030300140381,0,0.3,0.3,2.0,2.0,6.0,1.0,5.0,1.0
7,long,no distraction,filtered,1.0,0.9586078643798828,0,0.17,0.17,1.0,1.0,1.0,6.0,5.0,5.0
8,short,with distraction,none,1.0,0.8917185544967652,0,0.3,0.3,4.0,4.0,2.0,3.0,2.0,2.0
8,short,with distraction,static,1.0,0.8819278081258138,1,0.35,0.35,6.0,6.0,3.0,4.0,3.0,2.0
